Experiment_Type,Seed,Best,R0,R1,R2,R3,R4,R5,R6,R7,R8
Supervised Source Only 5-shot S2025,82.625,,,,,,,,,,
Supervised Source Only 5-shot S2026,82.625,,,,,,,,,,
Supervised Source Only 5-shot S2027,82.625,,,,,,,,,,
Supervised Source Only 5-shot S2028,82.625,,,,,,,,,,
Supervised Source Only 5-shot S2029,82.625,,,,,,,,,,
Supervised Source Only 10-shot S2025,82.625,,,,,,,,,,
Supervised Source Only 10-shot S2026,82.625,,,,,,,,,,
Supervised Source Only 10-shot S2027,82.625,,,,,,,,,,
Supervised Source Only 10-shot S2028,82.625,,,,,,,,,,
Supervised Source Only 10-shot S2029,82.625,,,,,,,,,,
Supervised Fine-tune 5-shot S2025,85.3125,,,,,,,,,,
Supervised Fine-tune 5-shot S2026,84.4375,,,,,,,,,,
Supervised Fine-tune 5-shot S2027,85.75,,,,,,,,,,
Supervised Fine-tune 5-shot S2028,85.8125,,,,,,,,,,
Supervised Fine-tune 5-shot S2029,84.125,,,,,,,,,,
Supervised Fine-tune 10-shot S2025,85.9375,,,,,,,,,,
Supervised Fine-tune 10-shot S2026,85.125,,,,,,,,,,
Supervised Fine-tune 10-shot S2027,86.625,,,,,,,,,,
Supervised Fine-tune 10-shot S2028,85.9375,,,,,,,,,,
Supervised Fine-tune 10-shot S2029,85.25,,,,,,,,,,
Supervised Linear Probe 5-shot S2025,86.9375,,,,,,,,,,
Supervised Linear Probe 5-shot S2026,86.5,,,,,,,,,,
Supervised Linear Probe 5-shot S2027,89.375,,,,,,,,,,
Supervised Linear Probe 5-shot S2028,87.0625,,,,,,,,,,
Supervised Linear Probe 5-shot S2029,86.375,,,,,,,,,,
Supervised Linear Probe 10-shot S2025,87.625,,,,,,,,,,
Supervised Linear Probe 10-shot S2026,88.0625,,,,,,,,,,
Supervised Linear Probe 10-shot S2027,89.0,,,,,,,,,,
Supervised Linear Probe 10-shot S2028,87.5,,,,,,,,,,
Supervised Linear Probe 10-shot S2029,88.25,,,,,,,,,,
LFTL wMixup 5shot S2025,91.3125,,,,,,,,,,
LFTL wMixup 5shot S2026,90.625,,,,,,,,,,
LFTL wMixup 5shot S2027,95.9375,,,,,,,,,,
LFTL wMixup 5shot S2028,91.75,,,,,,,,,,
LFTL wMixup 5shot S2029,92.5,,,,,,,,,,
LFTL wMixup 10shot S2025,96.5,,,,,,,,,,
LFTL wMixup 10shot S2026,93.5,,,,,,,,,,
LFTL wMixup 10shot S2027,96.125,,,,,,,,,,
LFTL wMixup 10shot S2028,94.25,,,,,,,,,,
LFTL wMixup 10shot S2029,96.5,,,,,,,,,,
LFTL woMixup 5shot S2025,94.69,,,,,,,,,,
LFTL woMixup 5shot S2026,94.88,,,,,,,,,,
LFTL woMixup 5shot S2027,97.13,,,,,,,,,,
LFTL woMixup 5shot S2028,93.88,,,,,,,,,,
LFTL woMixup 5shot S2029,94.06,,,,,,,,,,
LFTL woMixup 10shot S2025,97.5,,,,,,,,,,
LFTL woMixup 10shot S2026,96.8125,,,,,,,,,,
LFTL woMixup 10shot S2027,97.4375,,,,,,,,,,
LFTL woMixup 10shot S2028,95.875,,,,,,,,,,
LFTL woMixup 10shot S2029,96.75,,,,,,,,,,
NoMixup 5shot S2025,94.69,,,,,,,,,,
NoMixup 5shot S2026,94.88,,,,,,,,,,
NoMixup 5shot S2027,97.13,,,,,,,,,,
NoMixup 5shot S2028,93.88,,,,,,,,,,
NoMixup 5shot S2029,94.06,,,,,,,,,,
NoMixup 10shot S2025,97.5,82.63,97.12,97.5,97.38,96.75,96.62,96.56,97.19,95.81,
NoMixup 10shot S2026,96.8125,82.63,95.5,96.44,95.5,96.81,96.44,95.94,96.25,96.38,
NoMixup 10shot S2027,97.4375,82.63,97.38,97.44,94.56,97.06,94.12,96.12,96.81,95.88,
NoMixup 10shot S2028,95.875,82.63,95.75,94.62,94.69,95.88,95.25,94.5,95.56,95.75,
NoMixup 10shot S2029,96.75,82.63,95.62,95.25,95.81,94.06,96.75,95.94,96.56,95.38,
