alpha,lambda,mean_best,std_best,max_best,all_best
0,0.9,92.1875,2.4953,96.1875,"92.8125,91.1875,96.1875,89.6875,91.0625"
0.1,0,92.3,2.3752,95.9375,"91.9375,89.3125,95.9375,92.5000,91.8125"
0.1,0.1,91.575,2.8119,95.9375,"91.9375,89.3125,95.9375,88.8750,91.8125"
0.1,0.3,91.75,2.6228,95.9375,"91.9375,89.3125,95.9375,89.7500,91.8125"
0.1,0.5,91.8375,2.5455,95.9375,"91.9375,89.3125,95.9375,90.1875,91.8125"
0.1,0.7,91.8375,2.5455,95.9375,"91.9375,89.3125,95.9375,90.1875,91.8125"
0.1,0.9,91.9125,2.2073,95.0625,"92.8125,91.8125,95.0625,89.2500,90.6250"
0.3,0,92.0625,2.0563,95.4375,"91.9375,91.2500,95.4375,89.8750,91.8125"
0.3,0.1,92.1,2.0821,95.4375,"92.5000,90.4375,95.4375,90.3125,91.8125"
0.3,0.3,92.025,2.0337,95.4375,"91.9375,90.4375,95.4375,90.5000,91.8125"
0.3,0.5,91.9875,2.0703,95.4375,"91.9375,90.4375,95.4375,90.3125,91.8125"
0.3,0.7,91.9875,2.0703,95.4375,"91.9375,90.4375,95.4375,90.3125,91.8125"
0.3,0.9,92.475,2.7156,96.1875,"92.8125,93.1250,96.1875,88.6875,91.5625"
0.5,0,91.8875,1.9692,94.9375,"92.0000,89.5000,94.9375,91.1875,91.8125"
0.5,0.1,91.775,1.9812,94.9375,"91.9375,90.1875,94.9375,90.0000,91.8125"
0.5,0.3,91.7875,1.9817,94.9375,"91.9375,90.1875,94.9375,90.0000,91.8750"
0.5,0.5,91.775,1.9812,94.9375,"91.9375,90.1875,94.9375,90.0000,91.8125"
0.5,0.7,91.8875,1.882,94.9375,"91.9375,90.7500,94.9375,90.0000,91.8125"
0.5,0.9,92.3125,2.0209,95.625,"92.8125,91.1875,95.6250,90.6250,91.3125"
0.7,0,92.475,2.091,96.0,"92.3750,91.0625,96.0000,90.7500,92.1875"
0.7,0.1,91.7875,2.8592,96.0625,"91.9375,91.0625,96.0625,88.0625,91.8125"
0.7,0.3,91.7875,2.8592,96.0625,"91.9375,91.0625,96.0625,88.0625,91.8125"
0.7,0.5,91.7125,2.9174,96.0625,"91.9375,90.8125,96.0625,87.9375,91.8125"
0.7,0.7,91.875,2.6853,96.0625,"92.0000,90.8125,96.0625,88.6875,91.8125"
0.7,0.9,92.0875,2.2455,95.125,"92.8125,89.1250,95.1250,90.8750,92.5000"
0.9,0,92.5875,1.8464,95.5,"92.8750,92.2500,95.5000,90.5000,91.8125"
0.9,0.1,92.4875,1.897,95.4375,"91.9375,92.9375,95.4375,90.3125,91.8125"
0.9,0.3,92.4875,1.897,95.4375,"91.9375,92.9375,95.4375,90.3125,91.8125"
0.9,0.5,92.4875,1.897,95.4375,"91.9375,92.9375,95.4375,90.3125,91.8125"
0.9,0.7,92.4875,1.897,95.4375,"91.9375,92.9375,95.4375,90.3125,91.8125"
0.9,0.9,92.3,2.3308,95.875,"92.8125,92.3125,95.8750,89.8750,90.6250"
