alpha,lambda,round,mean_acc,std_acc,best_acc
0,0.9,0,82.625,0.0,82.625
0,0.9,1,87.4625,4.1525,92.8125
0,0.9,2,89.0125,4.8889,96.1875
0,0.9,3,89.75,2.9392,94.375
0,0.9,4,89.3625,2.7977,92.1875
0,0.9,5,89.7375,1.9159,92.375
0,0.9,6,90.05,1.5863,92.25
0,0.9,7,89.4125,1.3129,90.3125
0,0.9,8,90.275,1.4801,92.875
0.1,0,0,82.625,0.0,82.625
0.1,0,1,87.0375,4.4762,91.9375
0.1,0,2,89.6125,3.731,95.9375
0.1,0,3,87.125,2.6071,91.1875
0.1,0,4,90.1,1.5932,92.6875
0.1,0,5,89.5375,1.0947,91.3125
0.1,0,6,88.675,1.9327,90.6875
0.1,0,7,89.15,2.5585,92.5
0.1,0,8,88.65,3.6509,91.4375
0.1,0.1,0,82.625,0.0,82.625
0.1,0.1,1,87.0375,4.4762,91.9375
0.1,0.1,2,89.5875,3.7374,95.9375
0.1,0.1,3,88.3875,2.7569,91.1875
0.1,0.1,4,90.1375,1.5857,92.6875
0.1,0.1,5,88.725,1.1027,89.5
0.1,0.1,6,87.55,1.4493,89.5625
0.1,0.1,7,87.625,2.4016,90.5
0.1,0.1,8,88.5125,3.5659,91.875
0.1,0.3,0,82.625,0.0,82.625
0.1,0.3,1,87.0375,4.4762,91.9375
0.1,0.3,2,89.5875,3.7374,95.9375
0.1,0.3,3,88.3875,2.7569,91.1875
0.1,0.3,4,90.275,1.4454,92.6875
0.1,0.3,5,88.9625,0.6898,89.5
0.1,0.3,6,88.1125,1.3817,89.5625
0.1,0.3,7,87.6,3.4932,91.1875
0.1,0.3,8,87.475,3.6241,90.4375
0.1,0.5,0,82.625,0.0,82.625
0.1,0.5,1,87.0375,4.4762,91.9375
0.1,0.5,2,89.5875,3.7374,95.9375
0.1,0.5,3,88.3875,2.7569,91.1875
0.1,0.5,4,90.275,1.4454,92.6875
0.1,0.5,5,88.9625,0.6898,89.5
0.1,0.5,6,88.0125,1.1771,89.5625
0.1,0.5,7,87.725,3.5712,91.1875
0.1,0.5,8,87.525,3.4859,90.4375
0.1,0.7,0,82.625,0.0,82.625
0.1,0.7,1,87.0375,4.4762,91.9375
0.1,0.7,2,89.5875,3.7374,95.9375
0.1,0.7,3,88.3875,2.7569,91.1875
0.1,0.7,4,90.275,1.4454,92.6875
0.1,0.7,5,88.9625,0.6898,89.5
0.1,0.7,6,88.0125,1.1771,89.5625
0.1,0.7,7,87.9625,3.1102,91.1875
0.1,0.7,8,88.1125,3.8756,91.4375
0.1,0.9,0,82.625,0.0,82.625
0.1,0.9,1,87.4625,4.1525,92.8125
0.1,0.9,2,89.2375,3.7,94.6875
0.1,0.9,3,89.975,2.2864,93.5625
0.1,0.9,4,89.0,3.4821,95.0625
0.1,0.9,5,90.0625,1.8281,91.8125
0.1,0.9,6,89.075,2.3445,92.8125
0.1,0.9,7,87.3875,1.3859,88.8125
0.1,0.9,8,88.7625,2.5607,93.0
0.3,0,0,82.625,0.0,82.625
0.3,0,1,87.0375,4.4762,91.9375
0.3,0,2,90.7375,2.9618,95.4375
0.3,0,3,88.6125,2.4308,92.125
0.3,0,4,90.1875,2.2031,93.8125
0.3,0,5,90.95,1.7768,92.9375
0.3,0,6,89.375,0.9479,90.4375
0.3,0,7,89.6,2.0207,91.9375
0.3,0,8,88.95,2.5239,92.6875
0.3,0.1,0,82.625,0.0,82.625
0.3,0.1,1,87.0375,4.4762,91.9375
0.3,0.1,2,90.625,3.013,95.4375
0.3,0.1,3,89.1625,2.4449,92.125
0.3,0.1,4,90.0875,2.2082,93.625
0.3,0.1,5,90.95,1.3415,92.625
0.3,0.1,6,89.5,1.7578,91.75
0.3,0.1,7,90.0625,3.2159,94.625
0.3,0.1,8,89.675,3.6794,93.5625
0.3,0.3,0,82.625,0.0,82.625
0.3,0.3,1,87.0375,4.4762,91.9375
0.3,0.3,2,90.625,3.013,95.4375
0.3,0.3,3,89.1625,2.4449,92.125
0.3,0.3,4,90.0875,2.2082,93.625
0.3,0.3,5,90.9625,1.3189,92.625
0.3,0.3,6,89.2875,1.5421,91.75
0.3,0.3,7,89.7625,2.8351,94.625
0.3,0.3,8,88.725,4.0298,93.5625
0.3,0.5,0,82.625,0.0,82.625
0.3,0.5,1,87.0375,4.4762,91.9375
0.3,0.5,2,90.625,3.013,95.4375
0.3,0.5,3,89.1625,2.4449,92.125
0.3,0.5,4,90.0875,2.2082,93.625
0.3,0.5,5,90.7625,1.34,92.625
0.3,0.5,6,89.1375,1.7311,91.75
0.3,0.5,7,90.1625,2.623,94.625
0.3,0.5,8,89.15,2.8486,93.5625
0.3,0.7,0,82.625,0.0,82.625
0.3,0.7,1,87.0375,4.4762,91.9375
0.3,0.7,2,90.625,3.013,95.4375
0.3,0.7,3,89.1625,2.4449,92.125
0.3,0.7,4,90.0875,2.2082,93.625
0.3,0.7,5,90.65,1.4153,92.625
0.3,0.7,6,89.375,1.543,91.75
0.3,0.7,7,89.7375,3.0031,94.625
0.3,0.7,8,88.4875,3.4526,93.5625
0.3,0.9,0,82.625,0.0,82.625
0.3,0.9,1,87.4625,4.1525,92.8125
0.3,0.9,2,89.1,5.3693,96.1875
0.3,0.9,3,89.325,3.0776,93.3125
0.3,0.9,4,90.2625,2.9926,93.9375
0.3,0.9,5,90.2,2.6196,93.25
0.3,0.9,6,87.825,5.5438,93.25
0.3,0.9,7,89.15,3.885,93.4375
0.3,0.9,8,90.725,3.0041,94.4375
0.5,0,0,82.625,0.0,82.625
0.5,0,1,87.0375,4.4762,91.9375
0.5,0,2,90.8125,2.4761,94.9375
0.5,0,3,88.8,2.0302,91.125
0.5,0,4,89.5375,2.0802,92.0
0.5,0,5,89.975,0.6982,90.8125
0.5,0,6,89.85,1.2497,91.0625
0.5,0,7,90.025,1.6193,92.0
0.5,0,8,89.65,1.838,91.8125
0.5,0.1,0,82.625,0.0,82.625
0.5,0.1,1,87.0375,4.4762,91.9375
0.5,0.1,2,90.5875,2.6688,94.9375
0.5,0.1,3,88.15,3.284,91.125
0.5,0.1,4,88.9125,2.7499,91.25
0.5,0.1,5,90.1125,1.5992,91.8125
0.5,0.1,6,89.9,2.59,92.875
0.5,0.1,7,89.5125,1.9508,91.25
0.5,0.1,8,89.3375,1.4601,91.375
0.5,0.3,0,82.625,0.0,82.625
0.5,0.3,1,87.0375,4.4762,91.9375
0.5,0.3,2,90.525,2.731,94.9375
0.5,0.3,3,88.475,3.594,91.75
0.5,0.3,4,89.0625,2.8845,91.9375
0.5,0.3,5,89.975,1.5797,91.8125
0.5,0.3,6,90.325,2.121,92.875
0.5,0.3,7,89.55,1.5552,91.3125
0.5,0.3,8,89.425,1.9144,91.875
0.5,0.5,0,82.625,0.0,82.625
0.5,0.5,1,87.0375,4.4762,91.9375
0.5,0.5,2,90.525,2.731,94.9375
0.5,0.5,3,88.475,3.594,91.75
0.5,0.5,4,89.2125,2.8864,91.9375
0.5,0.5,5,90.0625,1.2755,91.625
0.5,0.5,6,89.8625,1.7965,92.0
0.5,0.5,7,88.725,2.5547,92.3125
0.5,0.5,8,89.35,1.6716,91.625
0.5,0.7,0,82.625,0.0,82.625
0.5,0.7,1,87.0375,4.4762,91.9375
0.5,0.7,2,90.525,2.731,94.9375
0.5,0.7,3,88.475,3.594,91.75
0.5,0.7,4,89.2,2.8734,91.9375
0.5,0.7,5,90.475,1.8063,93.125
0.5,0.7,6,89.9625,2.076,92.8125
0.5,0.7,7,89.3125,2.211,92.0
0.5,0.7,8,89.3625,1.8558,91.9375
0.5,0.9,0,82.625,0.0,82.625
0.5,0.9,1,87.4625,4.1525,92.8125
0.5,0.9,2,90.1125,3.9421,95.625
0.5,0.9,3,89.225,2.6058,93.125
0.5,0.9,4,90.25,3.1287,95.125
0.5,0.9,5,91.3375,1.7475,93.5
0.5,0.9,6,90.15,2.4893,93.5
0.5,0.9,7,90.75,2.3448,93.625
0.5,0.9,8,88.6,3.8562,92.875
0.7,0,0,82.625,0.0,82.625
0.7,0,1,87.0375,4.4762,91.9375
0.7,0,2,91.0875,3.1302,96.0
0.7,0,3,88.85,3.1145,93.0625
0.7,0,4,91.05,2.3441,93.75
0.7,0,5,91.1625,1.5236,93.1875
0.7,0,6,89.0375,3.0432,93.25
0.7,0,7,90.5125,2.3425,93.5
0.7,0,8,89.7875,3.43,93.0
0.7,0.1,0,82.625,0.0,82.625
0.7,0.1,1,87.0375,4.4762,91.9375
0.7,0.1,2,89.5625,4.397,96.0625
0.7,0.1,3,88.7375,3.3203,93.25
0.7,0.1,4,90.6875,2.7596,94.6875
0.7,0.1,5,89.9,1.6988,92.5
0.7,0.1,6,89.675,2.5274,92.9375
0.7,0.1,7,88.8125,2.3456,92.9375
0.7,0.1,8,87.5125,2.4683,91.5625
0.7,0.3,0,82.625,0.0,82.625
0.7,0.3,1,87.0375,4.4762,91.9375
0.7,0.3,2,89.5625,4.397,96.0625
0.7,0.3,3,88.6875,3.2361,93.0
0.7,0.3,4,90.775,2.8871,95.0625
0.7,0.3,5,89.9875,2.1201,93.1875
0.7,0.3,6,89.9,2.6924,93.6875
0.7,0.3,7,89.65,2.7513,94.4375
0.7,0.3,8,88.45,2.9286,92.625
0.7,0.5,0,82.625,0.0,82.625
0.7,0.5,1,87.0375,4.4762,91.9375
0.7,0.5,2,89.5625,4.397,96.0625
0.7,0.5,3,88.6875,3.2361,93.0
0.7,0.5,4,90.725,2.883,95.0625
0.7,0.5,5,89.7,2.454,93.1875
0.7,0.5,6,90.1,2.2069,93.6875
0.7,0.5,7,89.0625,3.1075,94.4375
0.7,0.5,8,88.9,2.5243,92.5625
0.7,0.7,0,82.625,0.0,82.625
0.7,0.7,1,87.0375,4.4762,91.9375
0.7,0.7,2,89.5625,4.397,96.0625
0.7,0.7,3,88.6875,3.2361,93.0
0.7,0.7,4,90.7375,2.8653,95.0625
0.7,0.7,5,89.9375,2.2435,93.1875
0.7,0.7,6,90.725,2.0689,93.6875
0.7,0.7,7,90.0875,3.0384,94.4375
0.7,0.7,8,89.3,2.5146,92.5625
0.7,0.9,0,82.625,0.0,82.625
0.7,0.9,1,87.4625,4.1525,92.8125
0.7,0.9,2,89.275,4.4054,95.125
0.7,0.9,3,88.0875,2.4948,90.8125
0.7,0.9,4,89.6,2.4628,93.125
0.7,0.9,5,90.0125,2.6767,92.75
0.7,0.9,6,88.3,2.1311,91.25
0.7,0.9,7,89.65,1.8559,92.8125
0.7,0.9,8,88.375,2.5198,92.4375
0.9,0,0,82.625,0.0,82.625
0.9,0,1,87.0375,4.4762,91.9375
0.9,0,2,89.9875,3.4634,95.3125
0.9,0,3,89.75,1.937,92.75
0.9,0,4,91.45,3.4887,95.5
0.9,0,5,90.45,1.9301,92.8125
0.9,0,6,90.375,2.3812,92.875
0.9,0,7,89.4,2.7897,92.625
0.9,0,8,88.6125,3.9554,92.5625
0.9,0.1,0,82.625,0.0,82.625
0.9,0.1,1,87.0375,4.4762,91.9375
0.9,0.1,2,89.6,4.0097,95.4375
0.9,0.1,3,89.6125,2.3198,93.3125
0.9,0.1,4,91.5,2.5043,95.0625
0.9,0.1,5,91.25,1.8693,92.9375
0.9,0.1,6,89.6875,2.0325,92.5625
0.9,0.1,7,89.0125,1.9016,91.25
0.9,0.1,8,89.05,3.155,92.9375
0.9,0.3,0,82.625,0.0,82.625
0.9,0.3,1,87.0375,4.4762,91.9375
0.9,0.3,2,89.6,4.0097,95.4375
0.9,0.3,3,89.725,2.1864,93.3125
0.9,0.3,4,91.7375,2.5212,95.25
0.9,0.3,5,91.4,2.3592,94.1875
0.9,0.3,6,90.075,2.428,93.9375
0.9,0.3,7,89.425,2.6289,93.0625
0.9,0.3,8,88.9375,3.3961,92.75
0.9,0.5,0,82.625,0.0,82.625
0.9,0.5,1,87.0375,4.4762,91.9375
0.9,0.5,2,89.625,4.002,95.4375
0.9,0.5,3,89.8375,2.068,93.3125
0.9,0.5,4,90.35,3.8975,95.3125
0.9,0.5,5,91.4125,2.3592,94.25
0.9,0.5,6,89.9375,3.1798,94.875
0.9,0.5,7,89.075,3.3156,93.875
